_id,﻿Course_ID,Course_Name,Course_Description,Term,Course_Language,Course_Teacher,Course_Credit,With_Course_Videos,Course_Teaching_Style,Course_Exam_Difficulty,Course_Exam_Type,Course_Required_Math_Level,Course_Recommended_Background[0],Course_Recommended_Background[1],Programming_Requirements[0].Language,Programming_Requirements[0].Level,Programming_Requirements[1].Level,Programming_Requirements[2].Level,Programming_Requirements[3].Level,Course_Class_Hours,Homework_mandatorily required_hours,Course_Module,Programming_Requirements[0].Language ,Programming_Requirements[1].Language ,Programming_Requirements[2].Language ,Programming_Requirements[3].Language 
67755b588cd78ea1d39b7a3d,ZKD50032,Advanced Image Synthesis,photorealistic and interactive image synthesis,Winter 2024/25,English,"Professor, Dr. Jens Krüger",6,Yes,Course+Exercise,very difficult,Oral exam without exercise bonus,very high,Computer graphics,,C++,proficient,,,,3,0,Interactive Systems and Visualization,,,,
67755b588cd78ea1d39b7a3e,ZKD50056,"Cloud, Web & Mobile","Cloud computing, web applications and mobile applications.",Winter 2024/25,German,Prof. Dr.-Ing. Torben Weis,6,Yes,Course+Exercise,difficult,Klausur,low,Null,,,,,,,4,0,Intelligent Networked Systems,,,,
67755b588cd78ea1d39b7a3f,ZKD41171,Distributed Systems,distributed systems and distributed algorithms.,Winter 2024/25,English,Prof. Dr.-Ing. Torben Weis,6,Yes,Course+Exercise,very difficult,Klausur,low,Null,,,,,,,3,0,Interactive Systems and Visualization,,,,
67755b588cd78ea1d39b7a40,ZKD50039,Learning Analytics," statistics, big data, machine learning, data/text mining, information visualization, visual analytics, and recommender systems.",Winter 2024/25,English,Prof. Dr. Mohamed Amine Chatti,6,No,Course+Exercise+Project,easy,Project Work + Oral Exam,low,Null,,,qualified,,,,4,4,Basics,Python,,,
67755b588cd78ea1d39b7a41,ZKD50001,Modeling of Concurrent Systems,"Transition systems, behavioral equivalences: language equivalence, bisimulation, Process calculi - CCS, Petri nets (partial order techniques), Graph transformation systems",Winter 2024/25,German,Prof. Dr. Barbara König,6,Yes,Course+Exercise,middle,Oral exam+Exercise bonus,high,program logic,,Java,basic,,,,4,2,Intelligent Networked Systems,,,,
67755b588cd78ea1d39b7a42,ZKD50050,Digital Games Research, hot topics and the state-of-the-art in digital games research.,Winter 2024/25,German,Prof. Dr.-Ing. Maic Masuch,6,No,Course+Project,easy,Paper without exam,Null,Null,,,,,,,4,4,Interactive Systems and Visualization,,,,
67755b588cd78ea1d39b7a43,ZKD50034,Advanced Web Technologies,"concepts, principles, and methods in current client and server-side Web technologies",Sommer 2024,English,Prof. Dr. Mohamed Amine Chatti,6,No,Course+Exercise+Project,easy,Project Work + Oral Exam,low,Null,,,basic,basic,basic,basic,4,4,Intelligent Networked Systems,HTML, CSS ,JavaScript,Python
67755b598cd78ea1d39b7a44,ZKD50037,Computer Graphics,teaches the algorithms used to program a computer to generate images of a geometric models with associated appearance properties.,Sommer 2024,English,"Professor, Dr. Jens Krüger",6,Yes,Course+Exercise,very difficult,Oral exam without exercise bonus,very high,Null,,C++,advanced,,,,3,0,Interactive Systems and Visualization,,,,
67755b598cd78ea1d39b7a45,ZKD50049,Game Architecture and Design,"The fundamentals of both topics, Game Architecture and Game Design",Sommer 2024,English,Prof. Dr.-Ing. Maic Masuch,6,No,Course+Project,easy,Project Work without exam,low,Unity3D,,,qualified,,,,2,6,Interactive Systems and Visualization,C#,,,
67755b598cd78ea1d39b7a46,ZKD50027,Information Retrieval,"search engines, information retrieval, information behavior",Sommer 2024,English,Prof. Dr. Dirk Lewandowski,6,No,Course+Exercise,difficult,Oral exam+Exercise bonus,middle,Null,,,,,,,3,1,Intelligent Networked Systems,,,,
